sample_name	birth_date	body_weight_at_sacrifice	body_weight_at_sacrifice_unit	collection_date	collection_timestamp	condition	country	description	dna_extracted	elevation	empo_1	empo_2	empo_3	empo_4	env_biome	env_feature	env_material	env_package	facility	facs_presorted_bacteria	fat	geo_loc_name	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_cageid	host_common_name	host_genotype	host_height	host_height_units	host_life_stage	host_scientific_name	host_strain	host_subject_id	host_taxid	host_vendor	host_weight	host_weight_units	latitude	liver_weight	liver_weight_unit	longitude	physical_specimen_location	physical_specimen_remaining	qiita_sample_type	qiita_study_id	sample_type	scientific_name	sex	taxon_id	timepoint	title
15900.s293.S293	2021-09-16 00:00:00	24.0	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.76	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	8	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55215	10090	Janvier Labs	25	g	51.206417488638486	1.09	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s294.1.S294.1	2021-09-16 00:00:00	25.2	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.53	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55219	10090	Janvier Labs	26	g	51.206417488638486	1.25	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s294.S294	2021-09-16 00:00:00	25.2	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.53	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55219	10090	Janvier Labs	26	g	51.206417488638486	1.25	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s295.1.S295.1	2021-09-14 00:00:00	31.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.39	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	2	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55192	10090	Janvier Labs	33.9	g	51.206417488638486	1.54	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s295.S295	2021-09-14 00:00:00	31.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.39	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	2	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55192	10090	Janvier Labs	33.9	g	51.206417488638486	1.54	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s296.1.S296.1	2021-09-14 00:00:00	27.8	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.36	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	3	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55193	10090	Janvier Labs	28.9	g	51.206417488638486	1.29	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s296.S296	2021-09-14 00:00:00	27.8	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.36	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	3	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55193	10090	Janvier Labs	28.9	g	51.206417488638486	1.29	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s297.1.S297.1	2021-09-14 00:00:00	32.9	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	1.18	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	6	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55203	10090	Janvier Labs	34.2	g	51.206417488638486	1.55	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s297.S297	2021-09-14 00:00:00	32.9	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	1.18	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	6	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55203	10090	Janvier Labs	34.2	g	51.206417488638486	1.55	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s298.1.S298.1	2021-09-16 00:00:00	21.8	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.32	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55212	10090	Janvier Labs	22.2	g	51.206417488638486	0.99	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s298.S298	2021-09-16 00:00:00	21.8	g	2022-02-16 00:00:00	2022-02-16 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.32	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	7	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55212	10090	Janvier Labs	22.2	g	51.206417488638486	0.99	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s299.1.S299.1	2021-09-16 00:00:00	22.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.3	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55223	10090	Janvier Labs	23.3	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s299.S299	2021-09-16 00:00:00	22.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.3	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55223	10090	Janvier Labs	23.3	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s3.S3	2021-09-14 00:00:00	not collected	g	2021-11-23 00:00:00	2021-11-23 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55189	10090	Janvier Labs	27.1	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	male	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s30.S30	2021-09-16 00:00:00	not collected	g	2021-11-25 00:00:00	2021-11-25 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	not collected	Germany:NRW:Duesseldorf	10	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:colon	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55221	10090	Janvier Labs	18.9	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	colon content	15900	colon content	mouse gut metagenome	female	410661	0w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s300.1.S300.1	2021-09-16 00:00:00	20.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.25	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55221	10090	Janvier Labs	21.8	g	51.206417488638486	1.03	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s300.S300	2021-09-16 00:00:00	20.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.25	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	10	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55221	10090	Janvier Labs	21.8	g	51.206417488638486	1.03	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s301.1.S301.1	2021-09-15 00:00:00	23.1	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.47	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55222	10090	Janvier Labs	24	g	51.206417488638486	1.14	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s301.S301	2021-09-15 00:00:00	23.1	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.47	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55222	10090	Janvier Labs	24	g	51.206417488638486	1.14	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s302.1.S302.1	2021-09-14 00:00:00	28.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.26	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55187	10090	Janvier Labs	29.8	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s302.S302	2021-09-14 00:00:00	28.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.26	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55187	10090	Janvier Labs	29.8	g	51.206417488638486	not collected	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s303.1.S303.1	2021-09-16 00:00:00	23.0	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.26	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55224	10090	Janvier Labs	23.5	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s303.S303	2021-09-16 00:00:00	23.0	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.26	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	11	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55224	10090	Janvier Labs	23.5	g	51.206417488638486	1.04	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s304.1.S304.1	2021-09-16 00:00:00	20.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.25	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	12	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55225	10090	Janvier Labs	21.5	g	51.206417488638486	1	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s304.S304	2021-09-16 00:00:00	20.9	g	2022-02-16 00:00:00	2022-02-16 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.25	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	12	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55225	10090	Janvier Labs	21.5	g	51.206417488638486	1	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	female	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s305.1.S305.1	2021-09-14 00:00:00	29.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.54	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	3	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55195	10090	Janvier Labs	30.6	g	51.206417488638486	1.42	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s305.S305	2021-09-14 00:00:00	29.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.54	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	3	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55195	10090	Janvier Labs	30.6	g	51.206417488638486	1.42	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s306.1.S306.1	2021-09-14 00:00:00	32.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.94	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	5	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55201	10090	Janvier Labs	34.5	g	51.206417488638486	1.49	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s306.S306	2021-09-14 00:00:00	32.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	TCDD	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.94	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	5	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55201	10090	Janvier Labs	34.5	g	51.206417488638486	1.49	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s307.1.S307.1	2021-09-14 00:00:00	32.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.93	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55189	10090	Janvier Labs	33.2	g	51.206417488638486	1.35	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s307.S307	2021-09-14 00:00:00	32.6	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.93	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55189	10090	Janvier Labs	33.2	g	51.206417488638486	1.35	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
15900.s308.1.S308.1	2021-09-14 00:00:00	32.3	g	2022-02-14 00:00:00	2022-02-14 00:00:00	control	Germany	Mouse gut microbiome, TCDD treated over time within SPF	TRUE	41.17	Host-associated	Host-associated (non-saline)	Animal (non-saline)	Animal distal gut (non-saline)	urban biome	animal-associated habitat	intestine environment	host-associated	SPF	FALSE	0.6	Germany:NRW:Duesseldorf	22	weeks	UBERON:gastrointestinal system	not collected	UBERON:lumen of gut	UBERON:caecum	1	mouse	wt	not collected	cm	adult	Mus musculus	C57BL/6JRj	55188	10090	Janvier Labs	32.9	g	51.206417488638486	1.3	g	6.78557572382138	Leibniz-Institut fuer umweltmedizinische Forschung	TRUE	caecum content	15900	caecum content	mouse gut metagenome	male	410661	12w	Long term, low-dose TCDD oral exposure changes gut microbial glycosylation patterns in female but not male C57BL6 mice
